№;Предмет; Стоимость; Вес; Описание
24;Кирка, горняцкая; (money::2 зм. $% 100); 10 фнт.;
25;Кислота (флакон); (money::25 зм. $% 100); 1 фнт.;(modalinfo::Кислота.$% Вы можете действием выплеснуть содержимое этого сосуда на существо, находящееся в пределах 5 футов от вас, или метнуть сосуд на расстояние до 20 футов, чтобы он разбился от удара. В любом случае совершите дальнобойную атаку против существа или предмета, считая кислоту импровизированным оружием. При попадании цель получает урон кислотой 2к6. $%Скоро)
26;Книга; (money::25 зм. $% 100); 5 фнт.;(modalinfo::Книга.$% В книге могут быть стихи, документальные сведения, информация о чём-либо, диаграммы и заметки о гномьих приспособлениях, или что угодно другое, представленное текстом и картинками. Книга с заклинаниями — другое дело (описана ниже).$%Скоро)
27;Книга заклинаний; (money::50 зм. $% 100); 3 фнт.;(modalinfo::Книга заклинаний.$% Книги заклинаний очень важны для волшебников. Это переплетённые кожей тома, содержащие 100 пустых пергаментных страниц, на которых можно записывать заклинания. $%Скоро)
28;Колокольчик; (money::1 зм. $% 100); —;
29;Колчан; (money::1 зм. $% 100); 1 фнт.;(modalinfo:: Колчан.$% В колчан помещается 20 стрел. $%Скоро)
30;Кольцо-печатка; (money::5 зм. $% 100); —;
31;Комплект для лазания; (money::25 зм. $% 100); 12 фнт.;(modalinfo::Комплект для лазания.$% В набор для лазания входят шлямбуры, накладные подошвы, перчатки и страховочная привязь. Вы можете действием использовать набор для лазания, чтобы закрепиться на высоте, если вы делаете это, вы не можете упасть более чем на 25 футов от того места, где закрепились, но и не можете подняться выше 25 футов от этого места, не открепившись.  $%Скоро)
32;Комплект для рыбалки; (money::1 зм. $% 100); 4 фнт.;(modalinfo::Комплект для рыбалки.$% В этот набор входит удилище, шёлковая леска, пробковый поплавок, стальные крючки, свинцовые грузила, приманки из ниток и мелкоячеистая сеть. $%Скоро)
33;Комплект целителя; (money::5 зм. $% 100); 3 фнт.;(modalinfo::Комплект целителя.$% Это кожаный кошель с бинтами, мазями и шинами. Набор годится для десяти использований. Вы можете действием потратить одно использование набора для стабилизации существа, у которого 0 хитов, не совершая проверку Мудрости (Медицина). $%Скоро)
34;Контейнер для арбалетных болтов; (money::1 зм. $% 100); 1 фнт.;(modalinfo::Контейнер$% для арбалетных болтов. В этот деревянный контейнер помещаются 20 арбалетных болтов. $%Скоро)
35;Контейнер для карт и свитков; (money::1 зм. $% 100); 1 фнт.;(modalinfo::Контейнер$% для карт и свитков. В этом цилиндрическом кожаном тубусе может храниться до десяти скрученных листов бумаги или пять скрученных листов пергамента. $%Скоро)
36;Корзина; (money::4 см. $% 10); 2 фнт.;
37;Кошель; (money::5 см. $% 10); 1 фнт.;(modalinfo::Кошель.$% В кожаном или тканевом кошеле поместится 20 снарядов для пращи или 50 иголок для духовой трубки, а также другие вещи. Кошель с отделениями для хранения компонентов заклинаний называется мешочком с компонентами (описывается ниже).$%Скоро)
38;Крюк-кошка; (money::2 зм. $% 100); 4 фнт.;
39;Кувшин или графин; (money::2 мм. $% 1); 4 фнт.;
40;Лампа; (money::5 см. $% 10); 1 фнт.;(modalinfo::Лампа.$% Лампа испускает яркий свет в пределах 15 футов и тусклый свет в пределах ещё 30 футов. Зажжённая лампа горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла$%Скоро)
41;Лестница (10 футов); (money::1 см. $% 10); 25 фнт.;
42;Ломик; (money::2 зм. $% 100); 5 фнт.;(modalinfo::Ломик.$% Использование ломика позволяет совершать проверки Силы с преимуществом, если рычаг должен помочь. $%Скоро)
43;Лопата; (money::2 зм. $% 100); 5 фнт.;
44;Волшебная палочка (Магическая фокусировка); (money::10 зм. $% 100); 1 фнт.;(modalinfo::Магическая фокусировка.$% Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
45;Жезл (Магическая фокусировка);(money::10 зм. $% 100); 2 фнт.;(modalinfo::Магическая фокусировка.$% Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
46;Кристалл (Магическая фокусировка);(money::10 зм. $% 100); 1 фнт.;(modalinfo::Магическая фокусировка.$% Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
47;Посох (Магическая фокусировка);(money::5 зм. $% 100); 4 фнт.;(modalinfo::Магическая фокусировка.$% Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
48;Сфера (Магическая фокусировка);(money::20 зм. $% 100); 3 фнт.;(modalinfo::Магическая фокусировка.$% Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
49;Масло (фляга); (money::1 см. $% 10); 1 фнт.;(modalinfo::Масло.$% Обычно масло продаётся в глиняных флягах по 1 пинте (0,5 литра). Вы можете действием облить маслом из фляги существо, находящееся в пределах 5 футов, или кинуть её на 20 футов, ломая при ударе. Совершите дальнобойную атаку по целевому существу или предмету, считая масло импровизированным оружием. При попадании цель покрывается маслом. Если цель получает урон огнём, пока масло не высохло (1 минута), она получает дополнительный урон огнём 5 от горящего масла. Вы можете также вылить фляжку масла на землю, покрыв площадь 5 × 5 футов, при условии, что пол ровный. Если теперь масло поджечь, оно горит 2 раунда и причиняет урон огнём 5 всем существам, входящим в эту область или оканчивающим в ней ход. Существо может получить этот урон только один раз за ход. $%Скоро)
50;Мел (1 кусочек); (money::1 мм. $% 1); —;
51;Металлические шарики (1 000 шт. в сумке); (money::1 зм. $% 100); 2 фнт.;(modalinfo::Металлические шарики.$% Вы можете действием рассыпать из этого мешка крохотные металлические шарики, покрыв площадь 10 × 10 футов. Существа, перемещающиеся по этой области, должны преуспеть в спасброске Ловкости со Сл 10, иначе они падают ничком. Существо, перемещающееся по этой области с уменьшенной вдвое скоростью, не обязано совершать спасбросок. $%Скоро)
52;Мешок; (money::1 мм. $% 1); 0,5 фнт.;
53;Мешочек с компонентами; (money::25 зм. $% 100); 2 фнт.;(modalinfo::Мешочек с компонентами.$% Мешочек с компонентами это маленький водонепроницаемый кожаный поясной кошель с отделениями для хранения материальных компонентов и других особых предметов, нужных для накладывания заклинаний, если только у этих компонентов не указана стоимость (смотрите описание заклинания). $%Скоро)
54;Молот, кузнечный; (money::2 зм. $% 100); 10 фнт.;
55;Молоток; (money::1 зм. $% 100); 3 фнт.;
56;Мыло; (money::2 мм. $% 1); —;
57;Одежда, дорожная; (money::2 зм. $% 100); 4 фнт.;
58;Одежда, костюм; (money::5 зм. $% 100); 4 фнт.;
59;Одежда, обычная; (money::5 см. $% 10); 3 фнт.;
60;Одежда, отличная; (money::15 зм. $% 100); 6 фнт.;
61;Одеяло; (money::5 см. $% 10); 3 фнт.;
62;Охотничий капкан; (money::5 зм. $% 100); 25 фнт.;(modalinfo::Охотничий капкан.$% Если вы действием установите эту ловушку, она образует стальное кольцо с зазубренными краями, которая захлопывается, когда в её центр наступает существо. Капкан привязывается толстой цепью к неподвижному предмету, такому как дерево или колышек, вбитый в землю. Существо, наступившее в центр, должно преуспеть в спасброске Ловкости со Сл 13, иначе оно получает колющий урон 1к4 и прекращает перемещение. Впоследствии, пока существо не высвободится из ловушки, его перемещения ограничены длиной цепи (обычно 1 метр). Любое существо может действием совершить проверку Силы со Сл 13, чтобы высвободить себя или другое существо, находящееся в пределах досягаемости. Каждая проваленная проверка причиняет пойманному существу колющий урон 1. $%Скоро)
63;Палатка, двухместная; (money::2 зм. $% 100); 20 фнт.;(modalinfo::Палатка.$% В палатке, простом парусиновом жилище, могут спать двое. $%Скоро)
64;Пергамент (один лист); (money::1 см. $% 10); —;
65;Песочные часы; (money::25 зм. $% 100); 1 фнт.;
66;Писчее перо; (money::2 мм. $% 1); —;
67;Подзорная труба; 1,(money::1000 зм. $% 100); 1 фнт.;(modalinfo::Подзорная труба.$% Предметы, на которые(money:: см. $% 10)отрят в подзорную трубу, увеличиваются в два раза $%Скоро)
68;Противоядие (флакон); (money::50 зм. $% 100); —;(modalinfo::Противоядие.$% Существо, выпившее жидкость из этого флакона, в течение часа совершает спасброски от яда с преимуществом. Оно не предоставляет преимущества нежити и конструктам. $%Скоро)
69;Рационы (1 день); (money::5 см. $% 10); 2 фнт.;(modalinfo::Рационы.$% Рационы состоят из обезвоженной пищи, подходящей для путешествий, включая вяленое мясо, сухофрукты, галеты и орехи.$%Скоро)
70;Рюкзак; (money::2 зм. $% 100); 5 фнт.;
71;Ряса; (money::1 зм. $% 100); 4 фнт.;
72;Свеча; (money::1 мм. $% 1); —;(modalinfo::Свеча.$% В течение 1 часа свеча испускает яркий свет в пределах радиуса 5 футов и тусклый свет в пределах ещё 5 футов. $%Скоро)
73;Святая вода (фляга); (money::25 зм. $% 100); 1 фнт.;(modalinfo::Святая вода.$% Вы можете действием облить содержимым этой фляги существо, находящееся в пределах 5 футов, или кинуть флягу на 20 футов, ломая при ударе. Совершите дальнобойную атаку по целевому существу, считая святую воду импровизированным оружием. Если цель — изверг или нежить, она получает урон излучением 2к6.  Жрец или паладин может создать святую воду, исполнив особый ритуал. Этот ритуал исполняется 1 час, использует толчёное серебро на (money::25 зм. $% 100) и требует, чтобы заклинатель потратил ячейку заклинаний 1 уровня. $%Скоро)
74;Амулет (Священный символ); (money::5 зм. $% 100); 1 фнт.;(modalinfo::Священный символ.$% Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
75;Реликварий (Священный символ);(money::5 зм. $% 100); 2 фнт.;(modalinfo::Священный символ.$% Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
76;Эмблема (Священный символ);(money::5 зм. $% 100); —;(modalinfo::Священный символ.$% Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
77;Сигнальный свисток; (money::5 мм. $% 1); —;
78;Спальник; (money::1 зм. $% 100); 7 фнт.;
79;Столовый набор; (money::2 см. $% 10); 1 фнт.;(modalinfo::Столовый набор.$% В этой небольшой коробке находится чашка и простые столовые приборы. Коробка раскрывается, и одна сторона может использоваться как сковорода, а другая — как тарелка или неглубокая миска. $%Скоро)
80;Сундук; (money::5 зм. $% 100); 25 фнт.;
81;Таран, портативный; (money::4 зм. $% 100); 35 фнт.;(modalinfo::Таран, портативный.$% Вы можете вышибать портативным тараном двери. Вы получаете бонус +4 к проверкам Силы. Если другой персонаж помогает вам использовать таран, вы совершаете проверку с преимуществом. $%Скоро)
82;Точильный камень; (money::1 мм. $% 1); 1 фнт.;
83;Трутница; (money::5 см. $% 10); 1 фнт.;(modalinfo::Трутница.$% В этом небольшом контейнере находится кремень, кресало и трут (обычно это сухая тряпка, вымоченная в масле), используемые для разжигания огня. Использование его для разжигания факела — или чего-нибудь другого, легковоспламеняющегося — требует одного действия. Разжигание другого огня требует 1 минуты. $%Скоро)
84;Увеличительное стекло; (money::100 зм. $% 100); —;(modalinfo::Увеличительное стекло.$% Эта линза позволяет разглядывать маленькие предметы. Линзу также можно использовать для замены кремня и кресала. Разжигание огня увеличительным стеклом требует света, яркого как свет солнца, трута для розжига и примерно 5 минут. Увеличительное стекло позволяет совершать с преимуществом проверки характеристик, сделанных для оценки или исследования мелких и высокодетализированных предметов. $%Скоро)
85;Факел; (money::1 мм. $% 1); 1 фнт.;(modalinfo::Факел.$% Факел горит 1 час, испуская яркий свет в пределах 20 футов и тусклый свет в пределах ещё 20 футов. Если вы совершаете рукопашную атаку горящим факелом и попадаете, он причиняет урон огнём 1. $%Скоро)
86;Флакон; (money::1 зм. $% 100); —;
87;Фляга или большая кружка; (money::2 мм. $% 1); 1 фнт.;
88;Веточка омелы (Фокусировка друидов); (money::1 зм. $% 100); —;(modalinfo::Фокусировка друидов.$% Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
89;Деревянный посох (Фокусировка друидов); (money::5 зм. $% 100); 4 фнт.;(modalinfo::Фокусировка друидов.$% Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
90;Тисовая палочка (Фокусировка друидов); (money::10 зм. $% 100); 1 фнт.;(modalinfo::Фокусировка друидов.$% Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
91;Тотем (Фокусировка друидов); (money::1 зм. $% 100); —;(modalinfo::Фокусировка друидов.$% Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. $%Скоро)
92;Фонарь, закрытый; (money::5 зм. $% 100); 2 фнт.;(modalinfo::Фонарь, закрытый.$% Закрытый фонарь испускает яркий свет в пределах 30 футов и тусклый свет в пределах ещё 30 футов. Зажжённый фонарь горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла. Вы можете действием опустить козырёк, уменьшив освещение до тусклого света в пределах 5 футов. $%Скоро)
93;Фонарь, направленный; (money::10 зм. $% 100); 2 фнт.;(modalinfo::Фонарь, направленный.$% Направленный фонарь испускает яркий свет 60-футовым конусом и тусклый свет в пределах ещё 60 футов. Зажжённый фонарь горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла.  $%Скоро)
94;Цепь (10 футов); (money::5 зм. $% 100); 10 фнт.;(modalinfo::Цепь.$% У цепи 10 хитов. Её можно порвать успешной проверкой Силы со Сл 20. $%Скоро)
95;Чернила (бутылочка 30 грамм); (money::10 зм. $% 100); —;
96;Шест (10 футов); (money::5 мм. $% 1); 7 фнт.;
97;Шипы, железные (10); (money::1 зм. $% 100); 5 фнт.;
98;Шлямбур; (money::5 мм. $% 1); 0,25 фнт.;
99;Яд, простой (флакон); (money::100 зм. $% 100); —;(modalinfo::Яд, простой.$% Вы можете покрыть ядом из этого флакона одно рубящее или колющее оружие или три боеприпаса. Наносится яд одним действием. Существо, по которому попадёт отравленное оружие или боеприпас, должно совершить спасбросок Телосложения со Сл 10, получая в случае провала урон ядом 1к4. Нанесённый яд эффективен 1 минуту, после чего высыхает. $%Скоро)
